order_number_idealo,order_number_shop,created_at,processed_at,status,currency,total_price_with_shipping,total_price_without_shipping,total_shipping,customer_email,customer_phone,shipping_address_address1,shipping_address_address2,shipping_address_city,shipping_address_country,shipping_address_given_name,shipping_address_family_name,shipping_address_zip,shipping_address_salutation,billing_address_address1,billing_address_address2,billing_address_city,billing_address_country,billing_address_given_name,billing_address_family_name,billing_address_zip,billing_address_salutation,fulfillment_carrier,fulfillment_type,fulfillment_transaction_code,fulfillment_options,payment_method,payment_transaction_id,merchant_id,merchant_name,total_item_price,item_price,former_price,price_range_amount,quantity,sku,title,delivery_time,voucher_code,refund_ids,refund_amounts,refund_statuses
ELYD9KVN,ELYD9KVN Idealo,28.02.2022 22:51,28.02.2022 22:53,COMPLETED,EUR,8924,8924,0,m-6xfd7h92vj4onu2m@checkout.idealo.de,,In der Au 13,,München,DE,Peter,Müller,61169,MRS,In der Au 13,,München,DE,Peter,Müller,61169,MRS,dhl-germany,POSTAL,00340434650583317929,,PAYPAL,6LM55684Y6366490A,,,8924,8924,,,1,MB-FER-FG030,Le Passe-Trappe: Groß (98 x 53 cm),1 - 3 Werktage,,,,
GV8NN34Y,GV8NN34Y Idealo,28.02.2022 14:02,28.02.2022 14:03,COMPLETED,EUR,2540,2050,490,m-4xjyni02wffubvhw@checkout.idealo.de,,Am Klosterfeld 8b,,Münster,DE,Michi,Martin,85235,MR,Am Klosterfeld 8b,,Münster,DE,Michi,Martin,85235,MR,dhl-germany,POSTAL,00340434493420172370,,PAYPAL,09J39466E5585811F,,,2050,2050,,,1,MB-PMB-9223,Ghostbusters: Venkman und Terror Dogs (9223),1 - 3 Werktage,,,,
WGLWZ42D,WGLWZ42D Idealo,27.02.2022 21:10,27.02.2022 21:10,COMPLETED,EUR,7990,7990,0,m-4xjy7o0ij8ifnvhw@checkout.idealo.de,,Planegger Straße 29,,München,DE,Merlinda,Sigel,82166,MRS,Planegger Straße 29,,München,DE,Merlinda,Sigel,82166,MRS,dhl-germany,POSTAL,00340434493420172387,,PAYPAL,03J48935T1767411D,,,7990,7990,,,1,MB-PMB-9041,Circus Roncalli: Wohnwagen mit Traktor (9041),1 - 3 Werktage,,,,
MQJRZ5ZN,MQJRZ5ZN Idealo,24.02.2022 23:17,24.02.2022 23:17,COMPLETED,EUR,5389,4899,490,m-zcifbf8iuio87wo6@checkout.idealo.de,,Saarstr. 111,,Oberreitnau,DE,Kasper,Ludwig,46045,MR,Saarstr. 111,,Oberreitnau,DE,Kasper,Ludwig,46045,MR,dhl-germany,POSTAL,00340434650583317684,,PAYPAL,73D178158Y796402C,,,4899,4899,,,1,MB-ALH-20026633000002,Betrayal at House on the Hill (2. Edition) (EN),1 - 3 Werktage,,,,
GV8NKY2Q,GV8NKY2Q Idealo,24.02.2022 20:45,24.02.2022 20:45,COMPLETED,EUR,2789,2299,490,m-s5i2nw6jou6ubuuv@checkout.idealo.de,,Ahornweg 41,,Buchenberg,DE,Gutrun,Mücke,6712,MRS,Ahornweg 41,,Buchenberg,DE,Gutrun,Mücke,6712,MRS,dhl-germany,POSTAL,00340434650583317691,,PAYPAL,2RS527185K358302B,,,2299,2299,,,1,MB-KMS-692797,Deutschland: Finden Sie Minden?,1 - 3 Werktage,,,,
P2PJD3N7,P2PJD3N7 Idealo,22.02.2022 11:58,22.02.2022 12:00,COMPLETED,EUR,5489,4999,490,m-ucdan2uj6so9bdhh@checkout.idealo.de,,Ludwigstraße 3,,Bamberg,DE,Herbert,Marta,68647,MR,Ludwigstraße 3,,Bamberg,DE,Herbert,Marta,68647,MR,dhl-germany,POSTAL,00340434650583317462,,PAYPAL,8CE04757PE2823416,,,4999,4999,,,1,MB-PGS-57600G,Everdell,1 - 3 Werktage,,,,
MQJE9VM7,MQJE9VM7 Idealo,21.02.2022 4:20,21.02.2022 4:21,COMPLETED,EUR,2189,1699,490,m-65isbsoj83fq7yyv@checkout.idealo.de,,Erlengrund 22,,Gelsenkirchen,DE,Hans,Merlin,21698,MR,Erlengrund 22,,Gelsenkirchen,DE,Hans,Merlin,21698,MR,dhl-germany,POSTAL,00340434650583317196,,PAYPAL,6NV06277AS195705T,,,1699,1699,,,1,MB-NIC-BOE1,Kluster,1 - 3 Werktage,,,,
Y3VLZEM5,Y3VLZEM5 Idealo,20.02.2022 16:21,20.02.2022 16:22,COMPLETED,EUR,2089,1599,490,m-dcwi7voj9dd9n2vv@checkout.idealo.de,,k.marx str.35,,Paris,DE,Jörg,Moser,12529,MR,k.marx str.35,,Paris,DE,Jörg,Moser,12529,MR,dhl-germany,POSTAL,00340434650583317172,,PAYPAL,1W869463HD597710S,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
89YRM2Q7,89YRM2Q7 Idealo,20.02.2022 9:48,20.02.2022 9:48,COMPLETED,EUR,5999,5999,0,m-ucdab2ujmq2m7dhh@checkout.idealo.de,,Konradstr. 2,,Bern,DE,Perter,Patrick,85737,MR,Konradstr. 2,,Bern,DE,Perter,Patrick,85737,MR,dhl-germany,POSTAL,00340434650583319978,,PAYPAL,4L995633RP901131F,,,5999,5999,,,1,MB-FEU-31012,Arche Nova,40 - 42 Werktage,,,,
3VJEM3GK,3VJEM3GK Idealo,20.02.2022 9:46,20.02.2022 9:46,PROCESSING,EUR,5326,4836,490,m-0rdmn9uoyiumbovv@checkout.idealo.de,,Konradstr. 2,,Insbruck,DE,Neter,perter,85737,MR,Konradstr. 2,,Insbruck,DE,Neter,perter,85737,MR,,POSTAL,,,PAYPAL,3XE89112RH976373G,,,4836,4836,,,1,MB-DWD-D0001,Dune: Imperium,56 - 58 Werktage,,,,
423JJD8Y,423JJD8Y Idealo,19.02.2022 19:54,19.02.2022 19:54,REVOKED,EUR,2468,1978,490,m-6r0abj92mviv72u9@checkout.idealo.de,,Rochusstr 120,,Tettnang,DE,Anton,Sepp,50827,MRS,Rochusstr 120,,Tettnang,DE,Anton,Sepp,50827,MRS,,POSTAL,,,PAYPAL,72892620VK089432K,,,1978,989,,,2,MB-WNM-50018,Schweinerei,1 - 3 Werktage,,null,2468,SUCCESS
P2PJWL85,P2PJWL85 Idealo,19.02.2022 11:35,19.02.2022 11:35,COMPLETED,EUR,2089,1599,490,m-ucdjn4uimuajbdhh@checkout.idealo.de,,Alexanderstrasse 27,,München,DE,Alfons,Tanzbein,99817,MR,Alexanderstrasse 27,,München,DE,Alfons,Tanzbein,99817,MR,dhl-germany,POSTAL,00340434650583317165,,PAYPAL,5LU47918356084118,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
